Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,17/06/2025 04:59,FALSE,Tangerang - ER W4,8.01,501,00:57:07,147,165,3.1,169,233,07:08,05:13,--,--,0.82,9.5,7.8,265,07:08,198,0,194,261,"9,732",No,00:01.6,9,00:56:50,01:20:05,--,--
Running,15/06/2025 06:07,FALSE,Tangerang - LR W3,15.05,955,01:31:39,166,183,5,181,191,06:05,02:59,--,--,0.9,8.6,7.8,247,06:05,227,0,226,285,"16,552",No,00:16.2,16,01:31:36,01:31:39,--,--
Running,14/06/2025 05:12,FALSE,Tangerang - SPEED W3,10.14,617,01:18:44,146,188,3.4,150,226,07:46,02:59,--,--,0.83,9.4,7.5,261,07:48,203,0,170,465,"12,292",No,00:44.7,23,01:15:18,01:41:08,--,--
Running,12/06/2025 05:36,FALSE,Tangerang - ER W3,6,355,00:45:11,133,142,2.4,170,222,07:32,05:47,--,--,0.78,10,7.8,272,07:32,189,0,187,233,"7,680",No,07:19.8,6,00:45:01,00:49:02,--,--
Running,11/06/2025 04:55,FALSE,Tangerang - MID SPEED W3,9.27,585,01:05:46,153,183,4,152,243,07:06,04:44,--,--,0.9,8.5,7.4,245,07:04,217,0,182,294,"10,488",No,01:28.7,16,01:03:00,01:05:46,--,--
Running,07/06/2025 05:59,FALSE,Tangerang - LR W2,12,710,01:30:58,141,160,3.1,162,238,07:35,05:30,--,--,0.8,9.7,7.6,268,07:34,185,0,177,276,"15,296",No,00:01.7,13,01:30:47,01:44:08,--,--
Running,06/06/2025 05:53,FALSE,Tangerang - SPEED W2,8.14,517,00:56:29,153,184,3.4,155,248,06:56,03:15,--,--,0.89,8.6,7.4,249,06:56,212,0,182,412,"9,142",No,00:07.1,19,00:55:42,00:56:29,--,--
Running,04/06/2025 18:58,FALSE,Tangerang - MID SPEED W2,10.05,645,01:19:06,149,181,3.7,145,242,07:52,04:16,--,--,0.86,8.9,7.3,255,07:48,199,0,165,331,"12,258",No,00:08.2,16,01:16:36,01:23:07,--,--
Running,03/06/2025 19:42,FALSE,Tangerang Running,7.34,477,00:58:51,153,166,3,153,225,08:01,05:48,--,--,0.79,9.5,7.5,263,08:03,188,0,168,232,"9,288",No,03:58.3,8,00:54:24,00:58:51,--,--
Running,01/06/2025 16:43,FALSE,Tangerang Running,5,312,00:41:13,138,155,2.5,150,247,08:14,04:53,--,--,0.78,9.5,7.3,266,08:10,183,0,161,329,"6,508",No,00:01.5,6,00:38:46,00:41:15,--,--
Running,01/06/2025 05:44,FALSE,Tangerang - Easy Run,12,743,01:12:38,162,179,4.5,180,220,06:03,04:54,--,--,0.91,8.7,7.9,248,06:04,230,0,229,312,"13,040",No,00:01.4,13,01:12:35,01:12:38,--,--
Running,31/05/2025 05:09,FALSE,Tangerang - SPEED W1,8.01,493,01:00:46,148,178,3.6,155,247,07:35,03:29,--,--,0.84,9,7.4,258,07:28,205,0,174,411,"9,482",No,00:54.0,16,01:00:37,01:00:46,--,--
Running,29/05/2025 05:43,FALSE,Tangerang - ER W1,10.01,637,01:14:05,151,170,3.4,167,200,07:24,05:21,--,--,0.8,9.7,7.7,265,07:23,194,0,187,284,"12,522",No,00:07.8,11,01:12:18,01:29:48,--,--
Running,28/05/2025 19:33,FALSE,Tangerang - Speed W1,5.69,428,00:46:42,163,189,3.4,153,250,08:13,03:01,--,--,0.8,9.4,7,262,08:02,188,0,158,437,"7,202",No,00:15.9,18,00:46:11,00:47:13,--,--
