Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,25/05/2025 06:11,FALSE,Bandar Lampung Running,6.1,395,00:41:24,140,161,2.7,172,188,06:47,04:32,46,38,0.86,0,"7,140",28,No,00:38.1,7,31,00:41:09,00:41:24,93,116
Running,18/05/2025 05:01,FALSE,Tangerang - EGGI BFI HM,21.22,"1,380",01:55:45,167,201,5,178,190,05:27,03:51,34,35,1.03,0,"20,568",29,No,00:26.6,23,32,01:55:41,01:55:45,29,49
Running,17/05/2025 06:16,FALSE,Tangerang Running,4.96,312,00:35:51,132,149,2.2,172,186,07:14,05:34,7,13,0.8,0,"6,186",29,No,06:41.8,5,31,00:35:44,00:35:57,37,49
Running,15/05/2025 06:10,FALSE,Bandar Lampung Running,10.01,656,00:57:47,160,183,3.8,175,184,05:46,05:25,58,61,0.99,0,"10,086",28,No,00:04.7,11,30,00:57:40,00:57:47,79,115
Running,12/05/2025 06:57,FALSE,Bandar Lampung Running,8.1,544,00:44:50,169,196,3.8,183,199,05:32,04:32,47,46,0.98,0,"8,164",28,No,00:31.0,9,31,00:44:47,00:51:49,80,96
Running,11/05/2025 05:50,FALSE,Bandar Lampung Running,14.5,949,01:32:30,153,191,3.6,170,188,06:23,04:08,72,88,0.91,0,"15,916",29,No,02:12.8,15,32,01:31:38,01:39:52,83,113
Running,27/04/2025 09:45,FALSE,Greenwich - LONDON MARATHON 2025,42.51,"2,665",03:40:40,166,188,5,182,192,05:12,04:23,187,216,1.06,0,"39,850",21,No,01:02.1,44,33,03:40:25,03:40:40,-1,69
Running,26/04/2025 07:37,FALSE,City of Westminster Running,0.29,13,02:10.1,109,127,0.1,98,198,07:26,03:09,1,--,1.2,0,244,17,No,00:06.3,4,18,00:01:11,02:10.1,22,25
Running,26/04/2025 07:31,FALSE,City of Westminster Running,0.67,40,05:50.7,113,136,0.4,81,191,08:40,03:55,6,3,1.6,0,646,17,No,00:10.1,8,18,03:55.9,05:50.7,21,25
Running,26/04/2025 06:39,FALSE,City of Westminster Running,5,300,00:30:59,126,142,2.4,177,194,06:11,05:07,20,19,0.91,0,"5,502",17,No,00:00.8,6,24,00:30:19,00:42:02,-3,16
Running,25/04/2025 05:52,FALSE,City of Westminster Running,5,334,00:38:47,121,145,2.2,145,187,07:45,05:04,45,16,0.89,0,"5,788",13,No,00:01.2,6,24,00:34:10,01:09:11,7,28
Running,22/04/2025 06:13,FALSE,Tangerang Running,8.01,506,00:46:06,148,163,3.1,180,186,05:45,05:18,7,10,0.97,0,"8,250",28,No,00:01.2,9,31,00:45:58,00:46:06,26,34
Running,20/04/2025 05:59,FALSE,Bandar Lampung - LR 3K ER + 4x(3K 4:50 rest 3:00j,19.26,"1,165",01:37:52,161,181,4.6,181,188,05:05,04:27,107,110,1.09,0,"17,598",28,No,00:22.8,22,32,01:37:47,01:37:52,92,115
Running,19/04/2025 06:17,FALSE,Bandar Lampung Running,8.01,489,00:44:46,143,159,3.1,179,186,05:35,04:46,40,51,1,0,"7,982",27,No,00:00.8,9,30,00:44:43,00:44:46,90,115
Running,18/04/2025 06:07,FALSE,Bandar Lampung Running,15,940,01:23:32,153,177,4,176,209,05:34,04:24,91,91,1.02,0,"14,682",27,No,00:01.4,16,31,01:23:16,01:34:17,79,115
Running,16/04/2025 06:15,FALSE,Bandar Lampung - 2x(2K 4:50 rest 3mins),8.6,542,00:46:43,157,171,3.7,173,191,05:26,04:19,68,63,1.05,0,"8,124",27,No,01:20.5,11,29,00:45:08,00:47:00,83,98
Running,16/04/2025 06:01,FALSE,Bandar Lampung Running,2.15,136,00:12:08,139,157,2.2,182,188,05:38,05:22,15,10,0.97,0,"2,206",27,No,00:49.1,3,30,00:12:04,00:12:08,85,100
Running,15/04/2025 06:12,FALSE,Bandar Lampung Running,10.01,634,00:53:23,161,187,3.9,179,184,05:20,04:38,82,75,1.05,0,"9,516",28,No,00:01.3,11,31,00:53:19,00:53:23,83,111
Running,13/04/2025 06:10,FALSE,Bandar Lampung - LR 5K ER 4x(3k 5:00 rest 3mins),21.1,"1,259",01:52:37,155,171,4.4,182,188,05:20,04:19,121,123,1.03,0,"20,350",28,No,00:22.2,24,31,01:52:30,01:53:12,79,113
Running,12/04/2025 06:14,FALSE,Bandar Lampung Running,10.5,633,00:59:58,144,169,3.2,178,186,05:43,04:53,64,64,0.98,0,"10,678",28,No,02:36.2,11,31,00:59:53,01:03:20,89,114
Running,11/04/2025 05:57,FALSE,Bandar Lampung Running,3.01,187,00:18:29,128,140,2.2,177,182,06:09,05:25,17,19,0.92,0,"3,274",28,No,00:01.3,4,30,00:18:25,00:18:29,83,97
Running,09/04/2025 06:43,FALSE,Bandar Lampung - INTERVAL 3000 2000 1000,6.69,412,00:35:38,158,186,3.5,166,191,05:20,03:59,54,53,1.1,0,"5,970",29,No,00:09.9,10,31,00:34:56,00:35:42,80,97
Running,09/04/2025 06:22,FALSE,Bandar Lampung Running,3.44,215,00:19:05,140,155,2.7,178,184,05:33,05:05,21,19,1.01,0,"3,390",28,No,02:23.8,4,30,00:18:59,00:19:06,83,96
Running,08/04/2025 06:02,FALSE,Bandar Lampung Running,12.01,770,01:10:39,153,175,3.5,181,186,05:53,05:30,38,38,0.94,0,"12,714",28,No,00:01.2,13,31,01:10:36,01:10:39,80,84
Running,06/04/2025 05:53,FALSE,Bandar Lampung - 2x(5K ER + 5K 5:20) + 5K ER,25,"1,548",02:13:24,161,186,5,181,189,05:20,04:24,127,143,1.03,0,"24,008",28,No,00:00.4,26,33,02:13:18,02:15:41,77,110
Running,04/04/2025 06:22,FALSE,Bandar Lampung Running,12.13,764,01:06:52,159,173,3.9,177,184,05:31,04:57,76,85,1.02,0,"11,814",28,No,00:39.0,13,32,01:06:47,01:07:05,77,115
Track Running,03/04/2025 06:07,FALSE,Bandar Lampung Running,"5,999",355,00:47:47,121,136,2,175,186,07:58,06:37,32,28,0.72,0,"8,366",28,No,06:57.7,6,29,00:47:45,00:51:22,102,106
Track Running,02/04/2025 07:17,FALSE,Bandar Lampung Running,"2,098",139,00:12:03,154,170,2.4,167,192,05:45,04:51,--,--,1.04,0,"2,062",31,No,00:30.5,3,32,00:11:16,00:12:03,96,98
Track Running,02/04/2025 06:43,FALSE,Bandar Lampung Track Running,"5,300",360,00:29:07,158,185,3.7,139,213,05:30,03:36,--,--,1.42,0,"4,218",27,No,00:02.5,10,29,00:22:08,00:29:07,98,99
