Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,22/05/2025 05:45,FALSE,Tangerang Running,8.01,395,00:52:45,164,176,3.5,175,190,06:35,05:46,4,8,0.87,0,"9,240",29,No,00:04.5,9,31,00:52:39,00:52:59,42,48
Running,21/05/2025 05:48,FALSE,Tangerang Running,8.05,402,00:54:27,161,177,3.5,172,215,06:46,05:21,5,8,0.86,0,"9,368",30,No,00:17.1,9,32,00:54:16,00:54:33,35,42
Running,18/05/2025 05:00,FALSE,Tangerang Running,21.12,904,02:03:41,170,192,4,177,194,05:51,04:23,34,29,0.97,0,"21,824",30,No,00:39.3,22,31,02:03:23,02:03:41,85,104
Running,17/05/2025 06:15,FALSE,Tangerang Running,5.01,266,00:36:52,162,181,3,166,193,07:22,04:57,9,5,0.82,0,"6,114",29,No,00:03.4,6,32,00:35:55,00:37:06,149,153
Running,14/05/2025 05:44,FALSE,Tangerang - Quality Session,10.09,420,01:03:13,155,178,2.9,162,209,06:16,03:56,5,4,0.98,0,"10,724",29,No,01:39.0,14,31,01:01:47,01:17:53,-261,-252
Running,11/05/2025 05:30,FALSE,Tangerang Running,20.91,963,02:09:41,169,185,3.8,172,203,06:12,03:46,44,44,0.94,0,"22,608",29,No,04:45.5,21,33,02:07:50,02:11:27,-160,-142
Running,10/05/2025 05:43,FALSE,Jakarta Running,2.43,116,00:18:25,142,164,2,147,188,07:34,05:23,2,7,0.9,0,"2,866",29,No,00:01.1,4,31,00:17:23,00:59:50,-127,-118
Running,09/05/2025 20:49,FALSE,Running,4.98,201,03:01:30,84,114,0.2,0,100,36:23:00,18:36,8,1,176.32,0,4,30,No,00:01.0,10,33,01:32:27,03:02:04,-120,-87
Running,09/05/2025 06:09,FALSE,Tangerang Running,6.58,308,00:42:18,158,172,3.1,178,192,06:25,05:38,2,11,0.87,0,"7,570",29,No,03:25.3,7,30,00:42:05,00:45:56,-110,-100
Running,07/05/2025 05:26,FALSE,Tangerang - Quality Session,10.97,459,01:05:41,162,187,3.2,172,215,05:59,04:00,16,6,0.97,0,"11,578",29,No,00:01.4,15,31,01:04:20,01:27:55,-101,-94
Running,06/05/2025 05:30,FALSE,Tangerang Running,8.33,380,00:56:07,154,175,3.2,173,192,06:44,05:31,8,12,0.86,0,"9,856",29,No,02:13.3,9,31,00:55:50,01:05:29,-150,-119
Running,04/05/2025 06:05,FALSE,Jakarta - Easy Run,12.31,593,01:18:54,166,179,3.6,178,190,06:24,04:49,17,28,0.88,0,"14,060",31,No,02:14.9,13,32,01:18:44,01:24:05,-108,-86
Running,03/05/2025 07:26,FALSE,Tangerang Running,2.01,102,00:12:46,170,190,2.5,173,190,06:22,05:24,2,1,0.91,0,"2,254",31,No,00:03.6,3,32,00:12:44,00:13:46,-65,-63
Running,03/05/2025 05:18,FALSE,Tangerang - Quality Session,15.25,656,01:30:40,163,189,3.8,174,212,05:57,04:35,16,14,0.97,0,"16,126",29,No,00:01.7,17,32,01:29:58,02:05:21,-67,-57
Running,02/05/2025 05:31,FALSE,Tangerang - Easy Run,11,526,01:13:13,158,178,3.5,174,190,06:39,05:38,4,11,0.87,0,"12,842",29,No,00:02.5,12,32,01:12:58,01:20:32,-39,-33
Running,01/05/2025 06:39,FALSE,Tangerang - Easy Run,8.09,374,00:53:26,156,186,3.3,167,194,06:36,05:06,3,2,0.91,0,"9,184",30,No,00:34.8,9,33,00:52:18,01:04:54,-16,-11
Running,30/04/2025 05:17,FALSE,Tangerang - Quality Session,13.04,586,01:20:27,168,195,3.8,160,210,06:10,04:10,12,14,1.02,0,"13,502",29,No,01:26.7,19,32,01:16:57,01:30:44,33,42
Running,29/04/2025 06:09,FALSE,Tangerang Running,8.01,370,00:52:52,157,179,3.3,175,194,06:36,05:37,6,7,0.86,0,"9,392",30,No,00:06.3,9,32,00:52:48,00:56:51,41,68
Running,27/04/2025 06:38,FALSE,Tangerang - Easy Run,9.05,432,00:57:28,165,185,3.7,178,192,06:21,05:20,5,9,0.89,0,"10,270",29,No,00:19.9,10,32,00:57:18,00:58:37,44,52
Running,26/04/2025 05:01,FALSE,Tangerang - Quality Session,23.53,"1,050",02:31:49,166,185,3.7,174,192,06:27,05:05,20,28,0.89,0,"26,702",29,No,03:37.7,24,34,02:30:31,03:03:57,-269,-249
Running,25/04/2025 06:15,FALSE,Tangerang - Easy Run,6.64,318,00:44:37,158,175,3.1,174,242,06:43,05:22,3,9,0.86,0,"7,804",30,No,03:58.9,7,31,00:44:19,00:52:35,-254,-237
Running,24/04/2025 06:01,FALSE,Tangerang - Easy Run,8.52,418,00:55:28,164,186,3.6,177,190,06:30,05:32,7,12,0.87,0,"9,850",29,No,03:10.9,9,31,00:55:19,00:56:12,-233,-223
Running,23/04/2025 06:04,FALSE,Tangerang - Quality Session,12.22,534,01:14:59,165,185,3.5,169,215,06:08,04:13,16,15,0.96,0,"13,068",29,No,00:02.6,23,32,01:13:03,01:24:33,-196,-189
Running,22/04/2025 06:13,FALSE,Tangerang Running,10.05,467,01:06:36,159,176,3.4,176,190,06:38,05:38,4,9,0.86,0,"11,776",29,No,00:17.2,11,31,01:06:25,01:08:04,-188,-183
Running,20/04/2025 05:25,FALSE,Tangerang Running,10.17,458,01:07:30,157,173,3.2,177,190,06:38,05:45,5,23,0.85,0,"12,036",28,No,01:10.4,11,31,01:07:20,01:08:23,-158,-136
