Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,12/05/2025 05:20,Tangerang - W7-D1,17.01,"1,012",01:34:30,142,149,3.5,179,184,05:33,04:42,9,15,1,8.3,8.3,248,05:34,--,0,--,--,"16,864",27,No,00:02.1,18,31,--,--,--,01:34:26,01:34:30,35,45
Running,10/05/2025 05:14,Tangerang - W6-D4,20.01,"1,272",01:37:18,167,179,5,182,190,04:52,04:09,13,13,1.13,7.7,8.6,234,04:52,--,0,--,--,"17,582",28,No,00:02.5,21,31,--,--,--,01:37:15,01:37:18,33,40
Running,08/05/2025 05:52,Tangerang - W6-D3,10.17,628,00:51:47,154,180,3.9,162,247,05:05,03:37,6,9,1.17,7.8,8.8,246,05:06,--,0,--,--,"8,502",27,No,00:02.4,16,30,--,--,--,00:51:41,00:51:47,33,39
Running,08/05/2025 05:45,Tangerang Running,1.01,58,05:46.4,124,138,1,167,182,05:44,04:10,--,--,1.01,8.8,8.8,258,05:49,--,0,--,--,986,29,No,00:02.2,2,31,--,--,--,00:05:45,00:06:15,39,40
Running,06/05/2025 05:36,Tangerang - W6-D2,17.01,"1,018",01:17:23,163,174,5,176,188,04:33,04:05,11,11,1.24,7.6,9.4,234,04:33,--,0,--,--,"13,598",26,No,00:02.0,18,30,--,--,--,01:17:19,01:17:23,35,39
Running,06/05/2025 05:23,Tangerang Running,2.01,121,00:11:55,128,138,1.7,175,181,05:56,05:04,--,--,0.95,8.8,8.4,256,05:58,--,0,--,--,"2,080",28,No,00:02.9,3,31,--,--,--,00:11:54,00:11:55,39,41
Running,05/05/2025 05:27,Tangerang - W6-D1,16.01,947,01:29:01,139,148,3.3,179,186,05:34,05:08,8,12,1,8.3,8.3,248,05:34,--,0,--,--,"15,878",26,No,00:02.7,17,31,--,--,--,01:28:57,01:29:01,34,42
Running,03/05/2025 05:21,Tangerang - W5-D4,19.01,"1,135",01:32:50,153,161,4.4,179,188,04:53,04:40,14,15,1.14,7.8,8.9,238,04:54,--,0,--,--,"16,534",26,No,00:02.1,20,30,--,--,--,01:32:46,01:32:50,35,40
Running,03/05/2025 05:13,Tangerang Running,1.01,61,06:11.9,124,135,0.9,173,183,06:09,05:38,--,1,0.93,8.8,8.2,257,06:13,--,0,--,--,"1,090",28,No,00:03.3,2,30,--,--,--,00:06:11,00:06:12,37,38
Running,01/05/2025 06:00,Tangerang - W5-D3,8.91,531,00:45:58,146,177,3.4,156,186,05:10,03:38,5,8,1.18,7.7,8.8,233,05:10,--,0,--,--,"7,570",26,No,00:02.3,14,29,--,--,--,00:45:47,00:45:58,34,40
Running,01/05/2025 05:54,Tangerang Running,1.01,60,05:57.7,126,138,0.9,173,177,05:54,05:37,--,--,0.97,8.7,8.5,256,05:57,--,0,--,--,"1,030",28,No,00:03.1,2,30,--,--,--,05:56,00:05:58,38,39
Running,29/04/2025 05:27,Tangerang - W5-D2,16.01,967,01:12:34,166,177,5,180,190,04:32,04:13,11,11,1.22,7.5,9.1,230,04:32,--,0,--,--,"12,968",27,No,00:02.8,17,30,--,--,--,01:12:29,01:12:34,34,40
Running,29/04/2025 05:15,Tangerang Running,2.01,116,00:11:36,123,142,1.6,174,181,05:47,05:36,--,1,0.98,8.6,8.5,254,05:48,--,0,--,--,"2,014",28,No,00:02.3,3,31,--,--,--,00:11:34,00:11:36,38,40
Running,28/04/2025 05:19,Tangerang - W5-D1,15.01,908,01:23:09,142,152,3.4,179,188,05:32,05:01,8,13,1,8.3,8.3,247,05:33,--,0,--,--,"14,868",27,No,00:02.9,16,31,--,--,--,01:23:06,01:23:09,34,40
Running,26/04/2025 05:15,Tangerang - W4-D4,18.01,"1,088",01:26:30,156,169,4.8,180,189,04:48,04:06,21,12,1.15,7.7,8.8,235,04:49,--,0,--,--,"15,518",28,No,00:02.4,19,31,--,--,--,01:26:26,01:26:30,34,39
Running,24/04/2025 05:58,Tangerang - W4-D3,8.97,552,00:45:57,152,184,3.7,163,190,05:07,03:08,1,11,1.15,7.7,8.5,237,05:09,--,0,--,--,"7,698",26,No,00:03.6,14,30,--,--,--,00:45:51,00:45:57,34,46
Running,22/04/2025 05:47,Tangerang - W4-D2,16.01,957,01:12:06,164,172,5,181,188,04:30,04:12,8,12,1.22,7.4,9,228,04:31,--,0,--,--,"12,972",26,No,00:02.7,17,31,--,--,--,01:12:03,01:12:06,33,41
Running,22/04/2025 05:40,Tangerang Running,1.01,61,05:52.5,127,139,1,174,183,05:49,05:17,--,--,0.98,8.6,8.5,255,05:52,--,0,--,--,"1,018",28,No,00:02.9,2,31,--,--,--,00:05:51,00:05:53,38,39
Running,21/04/2025 05:42,Tangerang - W4-D1,14.01,851,01:17:16,143,151,3.4,181,187,05:31,05:06,7,12,0.99,8.2,8.2,245,05:32,--,0,--,--,"13,930",27,No,00:01.9,15,31,--,--,--,01:17:13,01:17:16,33,41
Running,19/04/2025 05:58,Tangerang - W3-D4,17.01,"1,081",01:21:58,165,181,5,182,189,04:49,03:08,6,16,1.14,7.6,8.7,234,04:50,--,0,--,--,"14,788",28,No,00:01.8,18,31,--,--,--,01:21:50,01:22:10,34,46
Running,17/04/2025 06:08,Tangerang - W3-D3,8.98,558,00:45:55,153,183,3.8,160,184,05:07,03:39,9,11,1.17,7.8,8.9,248,05:07,--,0,--,--,"7,546",27,No,00:02.4,14,30,--,--,--,00:45:47,00:45:55,33,40
Running,17/04/2025 06:02,Tangerang Running,1.01,61,05:50.2,130,141,1,171,179,05:46,04:58,--,--,1,8.7,8.7,256,05:48,--,0,--,--,"1,004",29,No,00:03.4,2,32,--,--,--,00:05:49,00:05:50,38,40
Running,15/04/2025 06:01,Tangerang - W3-D2,14.01,854,01:02:53,167,176,5,177,188,04:29,04:06,7,9,1.25,7.5,9.4,231,04:30,--,0,--,--,"11,112",26,No,00:02.3,15,30,--,--,--,01:02:47,01:02:53,33,38
Running,15/04/2025 05:55,Tangerang Running,1.01,55,05:42.7,117,125,0.8,173,178,05:39,05:21,--,1,1.02,8.7,8.9,257,05:42,--,0,--,--,980,28,No,00:03.0,2,31,--,--,--,00:05:42,00:05:43,38,39
Running,14/04/2025 05:47,Tangerang - W3-D1,14.01,851,01:17:54,141,149,3.4,178,188,05:34,04:52,5,7,1,8.4,8.4,248,05:34,--,0,--,--,"13,850",26,No,00:02.5,15,30,--,--,--,01:17:50,01:17:54,34,38
Running,12/04/2025 05:32,Tangerang - W2-D4,16.01,"1,006",01:16:32,163,175,5,178,196,04:47,04:18,19,19,1.17,7.7,9,236,04:47,--,0,--,--,"13,628",27,No,00:02.1,17,30,--,--,--,01:16:29,01:16:55,32,36
Running,12/04/2025 05:19,Tangerang Running,2.01,126,00:11:49,132,143,2,179,189,05:53,05:32,3,5,0.94,8.5,8,250,05:54,--,0,--,--,"2,122",28,No,00:02.7,3,31,--,--,--,00:11:48,00:11:49,36,40
Running,10/04/2025 06:06,Tangerang Running,9.01,546,00:45:57,150,179,3.6,161,187,05:06,03:34,8,6,1.18,7.8,9,252,05:06,--,0,--,--,"7,556",27,No,00:00.7,15,30,--,--,--,00:45:47,00:45:57,32,36
