Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,06/04/2025 06:28,Jakarta Running,14.01,835,01:24:32,162,185,4.3,176,194,06:02,04:33,21,33,0.94,8.7,8.1,247,06:01,212,0,206,304,"15,000",29,No,00:02.2,15,34,01:24:12,01:25:29,-12,12
Running,05/04/2025 06:25,Tangerang Running,4.32,250,00:24:01,159,175,3.1,179,194,05:34,04:19,1,6,1,8.3,8.3,239,05:34,225,0,222,303,"4,302",28,No,01:56.8,5,30,00:23:54,00:24:01,23,30
Running,31/03/2025 07:02,Tangerang Running,1.07,62,00:06:58,137,152,1.2,167,184,06:33,04:38,3,5,0.91,9,8.1,252,06:28,200,0,192,293,"1,178",29,No,00:24.2,2,31,00:06:52,00:07:00,29,34
Running,25/03/2025 18:03,Tangerang Running,1.12,63,00:07:25,131,148,1,169,188,06:39,05:12,--,2,0.89,9,8,252,06:33,196,0,189,247,"1,272",31,No,00:55.6,2,32,00:07:12,00:07:43,19,23
Running,21/03/2025 18:35,Tangerang Running,3.61,226,00:23:50,146,158,2.4,159,187,06:36,04:39,7,5,0.95,8.8,8.4,248,06:32,206,0,189,285,"3,842",31,No,05:43.5,4,33,00:21:46,00:26:44,24,28
Running,16/03/2025 08:18,Quality Session,42.54,"2,257",03:21:43,168,188,5,181,196,04:44,03:21,115,131,1.16,7.8,9,227,04:45,262,0,260,388,"36,372",9,No,02:30.9,43,20,03:21:30,03:21:43,2,49
Running,14/03/2025 08:34,Quality Session,4.92,266,00:30:01,135,159,2.4,171,194,06:06,03:53,12,20,0.96,8.6,8.2,246,06:04,216,0,201,383,"5,162",16,No,00:49.8,9,22,00:29:16,00:30:36,30,46
Treadmill Running,12/03/2025 08:15,Treadmill Running,5.08,241,00:30:00,135,145,2.1,186,194,05:54,05:25,--,--,0.91,8.4,7.7,240,--,199,0,198,222,"5,552",--,No,00:27.5,6,--,00:29:53,00:30:00,--,--
Running,11/03/2025 17:20,Tangerang - Quality Session,7.73,440,00:40:00,167,188,3.6,178,192,05:10,02:46,19,27,1.08,8.2,8.7,235,05:10,249,0,238,407,"7,080",31,No,00:02:00,13,34,00:39:39,00:40:00,22,36
Running,08/03/2025 07:32,Tangerang Running,5,235,00:19:28,175,190,3.3,184,192,03:53,03:09,9,9,1.38,6.8,9.4,203,03:54,311,0,308,351,"3,570",29,No,00:00.6,6,31,00:19:27,00:19:28,35,43
Running,07/03/2025 06:19,Tangerang Running,8.31,451,00:52:58,135,149,2.5,170,188,06:22,04:52,20,10,0.92,8.8,8.1,248,06:19,200,0,193,263,"9,016",28,No,01:51.9,9,30,00:51:07,00:58:17,32,39
Running,06/03/2025 06:52,Tangerang - Quality Session,7.08,384,00:36:53,159,182,3.5,171,236,05:12,03:53,9,9,1.11,7.9,8.7,231,05:12,248,0,232,334,"6,348",29,No,03:20.1,8,32,00:36:44,00:36:59,24,31
Running,05/03/2025 20:39,Tangerang - Quality Session,4.3,243,00:23:00,162,185,3,175,190,05:21,04:03,12,20,1.06,8.4,8.9,242,05:22,239,0,231,316,"4,030",30,No,03:40.8,5,32,00:22:59,00:23:00,23,38
Treadmill Running,03/03/2025 18:24,Treadmill Running,14.01,638,01:20:01,143,153,2.8,189,215,05:43,04:58,--,--,0.93,8.2,7.6,235,--,204,0,203,241,"15,032",--,No,00:01.7,15,--,01:19:53,01:20:01,--,--
Running,01/03/2025 06:14,Tangerang - Quality Session,21.21,"1,132",01:45:01,168,189,5,180,188,04:57,04:11,47,94,1.12,8,9,232,04:56,242,0,239,342,"18,826",28,No,00:01.0,23,32,01:44:56,01:45:01,37,46
Treadmill Running,28/02/2025 18:39,Treadmill Running,16.01,712,01:29:28,144,166,3,187,218,05:35,03:57,--,--,0.96,8.2,7.8,235,--,203,0,201,286,"16,624",--,No,00:01.2,17,--,01:29:02,01:29:28,--,--
Running,26/02/2025 18:17,Tangerang - Quality Session,16.25,861,01:20:00,169,186,4.9,180,189,04:55,03:56,9,87,1.12,8,8.9,231,04:56,243,0,239,316,"14,390",29,No,00:00.4,18,32,01:19:57,01:20:00,4,26
Treadmill Running,24/02/2025 16:49,Treadmill Running,7.58,294,00:45:02,129,139,1.7,183,198,05:57,04:21,--,--,0.92,8.6,7.9,243,--,191,0,190,249,"8,206",--,No,03:27.6,8,--,00:44:52,00:45:02,--,--
Running,23/02/2025 17:48,Tangerang - Easy Run,7.01,377,00:42:07,148,160,2.7,176,192,06:00,03:13,15,31,0.94,8.9,8.3,249,06:02,200,0,196,354,"7,366",29,No,00:00:00,18,32,00:41:51,00:42:07,24,45
Running,22/02/2025 05:33,Tangerang - Quality Session,30.25,"1,582",02:30:00,167,183,5,181,231,04:58,04:09,116,112,1.11,7.9,8.7,230,04:56,242,0,239,453,"27,080",25,No,01:07.3,33,30,02:29:54,02:30:00,25,47
