Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,16/03/2024 08:18,Running,43.14,"2,344",04:44:36,128,156,3.6,161,183,06:36,04:22,707,722,0.94,0,"46,152",16,No,00:49.7,44,23,04:36:01,04:44:36,-67,-25
Running,15/03/2024 08:21,Running,4.82,265,00:39:42,101,125,1.2,127,191,08:15,05:32,48,57,0.97,0,"5,282",16,No,06:32.9,5,20,00:34:30,00:48:15,-90,20
Treadmill Running,13/03/2024 16:32,Treadmill Running,2.58,219,00:26:37,116,146,2.3,117,170,10:20,05:34,--,--,0.81,0,"3,404",29,No,07:20.7,3,31,00:19:06,00:26:37,--,--
Running,10/03/2024 06:29,Tangerang Running,8.55,526,01:03:50,107,126,2,161,181,07:28,06:07,35,35,0.83,0,"10,314",28,No,03:59.2,9,30,01:03:28,01:08:37,29,41
Running,09/03/2024 06:00,Tangerang Running,15.23,917,01:47:18,119,134,2.5,158,175,07:03,05:24,54,77,0.9,0,"16,976",28,No,01:19.9,16,30,01:45:26,01:57:46,10,46
Running,07/03/2024 17:49,Tangerang Running,1.01,74,06:50.2,131,141,1.4,164,181,06:45,05:55,11,4,0.9,0,"1,148",31,No,00:04.6,2,32,00:06:45,00:06:50,40,49
Running,07/03/2024 17:15,Tangerang Running,5.02,322,00:30:09,130,144,2.7,160,170,06:00,05:02,27,31,1.04,0,"4,822",30,No,00:06.0,6,32,00:29:49,00:30:09,29,43
Running,07/03/2024 06:49,Tangerang Running,9.09,619,00:56:16,134,154,3.2,165,183,06:11,04:58,65,63,0.98,0,"9,272",29,No,00:26.1,10,32,00:56:10,01:01:26,34,46
Running,05/03/2024 16:40,Tangerang Running,10.01,617,01:06:38,123,148,2.3,163,174,06:39,05:19,59,57,0.92,0,"10,848",30,No,00:03.6,11,32,01:06:31,01:11:11,28,44
Running,05/03/2024 07:24,Tangerang Running,8.25,534,00:52:30,128,158,2.8,167,218,06:22,04:35,62,59,0.94,0,"8,778",29,No,01:13.3,9,33,00:52:23,00:55:09,34,46
Running,04/03/2024 08:02,Tangerang Running,5.13,360,00:32:23,131,151,3,160,170,06:19,05:18,25,28,0.99,0,"5,170",30,No,00:44.2,6,33,00:32:20,00:32:23,36,45
Running,02/03/2024 05:28,Tangerang Running,21.22,"1,250",02:32:59,115,140,2.7,158,181,07:13,05:35,127,87,0.87,0,"24,316",28,No,01:25.6,22,32,02:32:22,02:57:22,33,53
Running,01/03/2024 07:52,Tangerang Running,10.08,669,01:07:32,128,149,2.6,161,175,06:42,05:03,90,81,0.93,0,"10,910",29,No,00:23.5,11,33,01:07:16,01:12:34,37,49
Running,28/02/2024 17:04,Tangerang Running,10.02,678,01:06:58,129,152,3.1,160,177,06:41,05:29,74,67,0.93,0,"10,772",31,No,00:05.2,11,32,01:06:18,01:14:31,31,44
Running,27/02/2024 07:31,Tangerang Running,5.01,331,00:36:32,115,146,2.4,162,175,07:17,05:20,20,22,0.84,0,"5,944",30,No,00:03.2,6,31,00:36:14,00:37:11,40,47
Running,25/02/2024 05:19,Tangerang Running,22.03,"1,358",02:49:50,110,126,2.7,160,181,07:43,05:56,124,89,0.81,0,"27,130",28,No,00:11.5,23,31,02:49:06,03:16:19,33,47
Running,24/02/2024 07:32,Tangerang Running,4,265,00:27:30,126,147,2.3,154,192,06:52,04:19,21,19,0.94,0,"4,366",29,No,00:02.2,5,32,00:27:18,00:32:22,38,46
Running,23/02/2024 06:41,Tangerang Running,10.08,664,01:05:10,131,154,3.2,164,183,06:28,04:47,73,71,0.94,0,"10,708",29,No,00:21.8,11,33,01:05:04,01:10:56,26,45
Running,21/02/2024 07:10,Tangerang Running,8.01,528,00:57:22,118,153,2.9,161,175,07:10,05:08,25,25,0.86,0,"9,258",29,No,00:01.8,9,32,00:57:03,01:00:09,36,46
Running,20/02/2024 06:38,Tangerang Running,8.46,556,00:57:03,126,146,3,169,196,06:45,03:35,19,16,0.87,0,"9,666",28,No,02:52.8,9,31,00:56:58,00:58:16,38,46
Running,18/02/2024 17:41,Tangerang Running,10.01,674,01:03:05,133,155,3.5,167,179,06:18,05:03,67,80,0.95,0,"10,508",30,No,00:02.8,11,31,01:02:55,01:05:17,34,46
Running,16/02/2024 05:37,Tangerang Running,14.48,"1,009",01:58:52,124,172,3.4,144,179,08:13,05:40,79,61,0.87,0,"17,292",28,No,06:33.2,15,31,01:46:08,02:10:05,32,49
Running,15/02/2024 07:15,Tangerang Running,8.1,518,00:54:28,120,155,3.1,165,181,06:44,04:51,43,36,0.9,0,"9,012",29,No,00:25.9,9,32,00:54:16,00:59:27,35,46
Running,14/02/2024 08:21,Tangerang Running,7.16,479,00:49:53,121,153,2.9,162,173,06:58,05:09,20,19,0.88,0,"8,120",29,No,00:50.5,8,31,00:49:41,00:49:53,38,45
Running,12/02/2024 16:57,Tangerang Running,8.02,557,00:52:11,133,154,3.2,164,175,06:30,05:27,60,47,0.94,0,"8,576",32,No,00:06.6,9,34,00:51:57,01:00:08,35,45
Running,11/02/2024 06:48,Tangerang Running,11,711,01:15:11,131,157,3,154,204,06:50,04:29,110,111,0.95,0,"11,872",28,No,00:01.6,12,34,01:09:19,01:18:50,26,47
Running,08/02/2024 05:42,Tangerang Running,21.07,"1,241",02:26:58,119,147,3,161,177,06:59,05:21,84,67,0.89,0,"23,704",27,No,00:23.6,22,31,02:25:16,02:45:36,39,58
Running,06/02/2024 07:46,Tangerang Running,5,343,00:31:50,134,149,3,164,175,06:22,05:26,16,15,0.96,0,"5,226",28,No,00:01.2,6,30,00:31:47,00:31:50,39,46
Running,04/02/2024 07:18,Tangerang Running,5.03,309,00:42:41,108,131,1.5,152,216,08:29,03:37,23,30,0.78,0,"6,530",28,No,00:16.3,6,31,00:42:31,00:42:41,31,45
Running,03/02/2024 06:09,Tangerang Running,20.22,"1,255",02:22:14,127,154,3.1,160,181,07:02,05:10,118,115,0.89,0,"22,768",28,No,01:13.9,21,32,02:18:18,02:29:14,25,50
Running,01/02/2024 06:34,Tangerang Running,12.12,947,01:20:01,150,178,4.5,165,175,06:36,05:36,45,40,0.92,0,"13,226",27,No,00:38.2,13,31,01:19:49,01:26:20,34,45
Running,30/01/2024 07:14,Tangerang Running,6.18,377,00:41:35,119,141,2.2,169,181,06:44,05:11,35,37,0.88,0,"7,050",27,No,00:57.2,7,29,00:41:15,00:41:35,34,48
Running,28/01/2024 17:30,Tangerang Running,5.62,371,00:39:52,122,156,2.6,158,213,07:06,04:24,17,25,0.89,0,"6,360",30,No,03:17.8,6,31,00:39:50,00:40:53,31,44
Running,27/01/2024 06:27,Tangerang Running,15.02,930,01:44:07,121,146,2.6,162,177,06:56,05:19,101,100,0.89,0,"16,950",27,No,00:04.0,16,31,01:44:00,02:02:50,19,42
Running,25/01/2024 17:41,Tangerang Running,10.01,688,01:12:37,128,148,3.1,160,181,07:15,05:33,50,66,0.86,0,"11,674",31,No,00:03.5,11,32,01:10:56,01:12:37,24,44
Running,24/01/2024 07:30,Tangerang Running,5.01,325,00:38:19,112,125,2.1,163,175,07:39,06:33,42,44,0.8,0,"6,282",29,No,00:02.6,6,32,00:37:50,00:38:19,34,45
Running,23/01/2024 06:43,Tangerang Running,7.01,450,01:02:29,104,124,2,151,174,08:54,06:37,55,53,0.74,0,"9,478",28,No,00:06.2,8,30,01:00:24,01:03:29,32,46
Running,21/01/2024 06:20,Tangerang Running,11.52,717,01:24:28,118,141,2.5,161,183,07:20,05:49,94,90,0.84,0,"13,782",28,No,05:06.8,12,32,01:22:15,01:38:16,34,48
Running,20/01/2024 06:36,Tangerang Running,8.01,528,01:12:37,111,146,2.1,131,245,09:04,04:20,36,33,0.84,0,"10,174",28,No,00:02.7,9,30,01:08:50,01:14:12,38,46
Running,18/01/2024 07:07,Tangerang Running,12.01,835,01:17:02,137,155,3.6,165,177,06:25,05:15,62,65,0.94,0,"12,734",28,No,00:01.9,13,31,01:16:44,01:19:19,34,45
Running,16/01/2024 07:36,Tangerang Running,10.01,652,01:08:18,125,146,2.8,167,177,06:49,05:42,74,73,0.88,0,"11,418",28,No,00:02.7,11,32,01:08:03,01:13:02,36,49
Running,15/01/2024 07:48,Tangerang Running,8.18,575,00:52:58,134,154,3.4,167,179,06:28,05:33,50,51,0.92,0,"8,848",30,No,01:13.8,9,33,00:52:53,00:53:06,37,45
Running,13/01/2024 06:41,Tangerang Running,12.08,736,01:22:35,120,144,2.6,168,191,06:50,05:50,104,87,0.87,0,"13,898",27,No,00:30.4,13,31,01:22:24,01:25:52,37,53
Running,12/01/2024 07:47,Tangerang Running,8.03,534,00:52:43,129,149,3.2,166,176,06:34,05:20,24,27,0.91,0,"8,788",29,No,00:12.7,9,32,00:52:34,00:53:46,32,42
Running,09/01/2024 07:11,Tangerang Running,13.14,867,01:29:12,127,149,3.3,166,178,06:47,05:17,63,57,0.88,0,"14,846",29,No,00:49.0,14,32,01:29:06,01:35:17,39,52
Running,07/01/2024 07:12,Tangerang Running,10.02,639,01:07:38,125,152,2.9,164,179,06:45,05:22,31,42,0.9,0,"11,124",29,No,00:04.5,11,32,01:07:10,01:08:40,26,44
Running,06/01/2024 06:53,Tangerang Running,7.6,516,00:47:08,136,160,3.4,168,189,06:12,04:30,22,18,0.96,0,"7,894",28,No,03:23.5,8,32,00:46:10,00:51:08,39,49
Running,05/01/2024 07:33,Tangerang Running,5.02,321,00:37:15,110,135,2.3,164,183,07:25,04:46,14,22,0.82,0,"6,122",28,No,00:05.5,6,30,00:37:12,00:38:19,38,45
Running,04/01/2024 07:27,Tangerang Running,5.05,345,00:32:07,133,160,3.2,164,181,06:21,04:46,20,23,0.96,0,"5,278",29,No,00:14.2,6,31,00:31:56,00:32:07,37,45
