Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,18/06/2025 06:09,FALSE,Tangerang Running,5.71,419,00:35:08,140,152,3.3,171,183,06:09,05:05,12,11,0.95,8.9,8.5,265,06:08,289,0,286,441,"5,916",25,No,04:11.1,6,28,00:35:06,00:37:57,38,49
Running,15/06/2025 06:24,FALSE,Tangerang Running,10.52,760,01:03:15,145,170,4.1,172,184,06:01,04:36,14,18,0.97,8.8,8.5,263,06:02,293,0,291,453,"10,758",25,No,03:26.8,11,29,01:03:13,01:04:14,39,53
Running,14/06/2025 06:32,FALSE,Tangerang Running,5.86,430,00:42:28,140,175,3.2,168,181,07:14,04:41,20,11,0.82,9.7,7.9,276,07:11,255,0,244,436,"7,052",26,No,06:01.3,6,30,00:42:20,00:51:21,31,44
Running,11/06/2025 06:39,FALSE,Tangerang Running,5.08,382,00:32:48,151,163,--,170,179,06:27,05:33,21,25,0.91,--,--,--,--,--,0,--,--,"5,486",--,No,00:34.9,6,--,00:32:46,00:33:11,22,39
Running,31/03/2025 06:26,FALSE,Gianyar - long run bali,13.55,"1,059",01:26:11,145,175,4.3,164,214,06:22,04:35,221,211,0.96,9.1,8.6,277,06:13,308,0,302,450,"14,148",24,No,00:29.8,15,29,01:25:51,02:00:44,194,323
Running,28/03/2025 06:37,FALSE,Tangerang Running,10.57,776,01:16:46,134,143,3.2,164,176,07:16,06:08,12,9,0.84,9.8,8.2,290,07:16,256,0,255,315,"12,428",26,No,04:13.7,11,29,01:16:43,01:20:54,30,40
Running,26/03/2025 18:27,FALSE,Tangerang Running,12.24,921,01:23:41,150,181,--,168,206,06:50,05:02,11,10,0.87,--,--,--,--,--,0,--,--,"13,970",--,No,00:52.8,15,--,01:23:36,01:42:16,17,25
Running,23/03/2025 06:00,FALSE,Tangerang Running,16.57,"1,064",01:39:58,148,166,--,173,191,06:02,04:36,34,35,0.96,--,--,--,--,--,0,--,--,"17,290",--,No,03:36.9,17,--,01:39:40,01:44:01,26,36
Running,22/03/2025 06:09,FALSE,Tangerang Running,6.15,445,00:48:45,121,133,2.5,162,176,07:56,06:13,9,9,0.78,10.2,7.9,294,07:51,237,0,236,371,"7,840",26,No,01:08.3,7,28,00:48:43,01:15:55,43,51
Running,21/03/2025 18:22,FALSE,Tangerang Running,5.23,390,00:38:12,135,146,2.6,161,175,07:18,06:19,8,9,0.85,9.8,8.3,293,07:19,251,0,251,302,"6,144",28,No,01:40.5,6,30,00:38:10,00:39:58,35,42
Running,19/03/2025 18:43,FALSE,Tangerang - interval 19 mar,10.9,811,01:11:53,124,140,3.8,164,206,06:36,03:24,5,5,0.92,9.1,8.1,275,06:34,301,0,275,559,"11,794",27,No,00:04.3,23,29,01:11:38,01:14:00,23,28
Running,12/03/2025 18:15,FALSE,Tangerang Running,9.52,725,00:58:23,156,179,4.7,168,197,06:08,03:50,4,6,0.96,8.7,8.3,263,06:07,292,0,282,479,"9,792",28,No,00:06.5,12,29,00:58:16,01:02:30,27,35
Running,11/03/2025 18:16,FALSE,Tangerang Running,5.28,395,00:35:32,142,154,3.1,162,174,06:44,04:38,12,5,0.91,9.5,8.7,285,06:43,263,0,262,392,"5,680",27,No,01:42.4,6,31,00:35:30,00:38:08,24,36
Running,09/03/2025 06:26,FALSE,Tangerang Running,10.01,708,01:13:48,140,154,--,164,180,07:22,06:17,33,32,0.83,--,--,--,--,--,0,--,--,"12,038",--,No,00:04.0,11,--,01:13:45,01:18:40,26,36
Running,07/03/2025 19:50,FALSE,Tangerang Running,5.15,370,00:35:49,139,150,--,162,172,06:58,05:55,19,13,0.89,--,--,--,--,--,0,--,--,"5,790",--,No,01:02.8,6,--,00:35:47,00:35:49,20,27
Running,02/03/2025 06:50,FALSE,Tangerang Running,3.65,282,00:24:43,151,159,3,169,179,06:46,05:35,2,2,0.88,9.4,8.2,275,06:46,259,0,258,328,"4,110",28,No,04:34.2,4,31,00:24:41,00:26:03,40,44
Running,02/03/2025 06:09,FALSE,Tangerang Running,5.05,373,00:25:51,173,185,4.7,174,187,05:07,03:58,3,6,1.12,8,8.9,249,05:08,339,0,337,442,"4,494",26,No,00:13.0,6,28,00:25:49,00:34:44,36,42
Running,23/02/2025 07:04,FALSE,Tangerang Running,12.02,902,01:19:23,143,160,3.9,167,176,06:36,05:26,25,16,0.91,9.4,8.5,277,--,267,0,268,351,"13,134",25,No,00:10.0,13,28,01:19:19,01:26:54,27,43
Running,20/02/2025 18:31,FALSE,Tangerang Running,5.47,421,00:36:35,145,162,--,162,177,06:41,05:08,15,10,0.92,--,--,--,--,--,0,--,--,"5,920",--,No,03:14.9,6,--,00:36:19,00:36:35,21,31
Running,19/02/2025 19:27,FALSE,Tangerang - VO2 Max,2.43,173,00:14:41,141,154,2.7,169,184,06:02,04:12,5,3,0.99,9,8.7,269,--,307,0,293,430,"2,464",24,No,00:01:00,5,30,00:14:40,00:14:41,26,31
Running,16/02/2025 06:26,FALSE,Tangerang Running,12.1,887,01:14:18,144,165,4.3,171,190,06:08,04:01,11,9,0.95,8.9,8.4,266,--,290,0,284,456,"12,646",25,No,00:36.2,13,30,01:14:15,01:19:29,32,37
Running,11/02/2025 06:01,FALSE,Tangerang Running,8.11,633,00:52:25,147,171,3.8,168,179,06:28,04:43,4,6,0.92,9.2,8.5,274,--,269,0,270,398,"8,728",26,No,00:39.6,9,29,00:52:22,00:53:48,34,40
Running,05/02/2025 06:36,FALSE,Tangerang Running,8.74,601,00:56:25,141,153,--,165,230,06:27,05:30,35,27,0.94,--,--,--,--,--,0,--,--,"9,176",--,No,04:36.1,9,--,00:56:24,00:59:57,23,40
Running,01/02/2025 06:26,FALSE,Tangerang Running,10.06,734,01:02:05,144,161,4,171,188,06:10,02:16,4,6,0.95,8.9,8.5,267,--,286,0,285,760,"10,480",26,No,00:29.3,11,29,01:02:02,01:12:59,37,41
Running,30/01/2025 17:44,FALSE,Tangerang Running,5.6,419,00:37:02,144,155,--,167,181,06:37,05:10,22,22,0.91,--,--,--,--,--,0,--,--,"6,072",--,No,04:16.9,6,--,00:37:00,00:37:02,23,39
