Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,17/03/2024 08:22,FALSE,Running,42.63,"2,223",04:48:42,160,213,5,172,188,06:46,03:27,152,155,0.86,0,"49,474",14,No,04:00.7,13,24,04:45:25,04:50:31,-24,12
Running,16/03/2024 08:21,FALSE,Running,5.01,296,00:38:59,143,166,3.4,139,190,07:47,03:49,18,11,0.95,0,"5,704",16,No,00:02.7,6,27,00:35:42,00:44:42,-30,-17
Running,13/03/2024 07:34,FALSE,Tangerang Running,3.05,152,00:22:20,137,165,2.3,169,176,07:19,05:08,7,11,0.81,0,"3,786",28,No,00:22.8,4,29,00:22:18,00:22:20,53,60
Running,10/03/2024 05:57,FALSE,Tangerang Running,15.29,745,01:47:11,142,158,3.9,162,182,07:01,04:56,5,35,0.88,0,"17,620",26,No,00:52.7,5,29,01:43:37,01:47:15,-500,-500
Running,07/03/2024 06:45,FALSE,Tangerang Running,5.53,263,00:40:06,132,160,2.9,165,182,07:15,05:10,104,105,0.83,0,"6,560",28,No,00:06.3,10,29,00:40:00,00:40:06,-500,-500
Running,07/03/2024 06:20,FALSE,Tangerang Running,3.4,158,00:24:01,132,148,2.2,173,178,07:04,05:08,5,17,0.82,0,"4,132",28,No,00:09.8,4,30,00:23:56,00:24:01,-500,-500
Running,06/03/2024 06:53,FALSE,Tangerang Running,5.03,254,00:35:05,140,153,3.1,170,174,06:58,05:45,12,28,0.85,0,"5,938",28,No,00:04.6,9,30,00:34:57,00:35:05,-500,-500
Running,02/03/2024 05:45,FALSE,Tangerang Running,21.05,913,02:31:33,137,161,3.4,166,182,07:12,05:03,41,71,0.84,0,"24,948",27,No,00:07.2,22,30,02:27:15,02:33:29,-410,-391
Running,29/02/2024 07:24,FALSE,Tangerang Running,8.01,380,00:57:33,136,160,3.2,163,178,07:11,05:19,13,23,0.85,0,"9,246",27,No,00:02.5,13,30,00:56:37,00:59:14,-386,-376
Running,27/02/2024 07:00,FALSE,Tangerang Running,4.93,236,00:47:20,115,149,1.5,162,176,09:36,05:17,10,25,0.64,0,"7,616",28,No,00:09.8,5,30,00:47:08,00:47:20,-351,-333
Running,25/02/2024 05:19,FALSE,Tangerang Running,27.69,"1,223",03:15:04,137,167,3.5,173,182,07:03,05:28,21,53,0.82,0,"33,684",26,No,00:04.0,5,30,03:13:39,03:15:04,-290,-262
Running,24/02/2024 06:28,FALSE,Tangerang Running,5.8,285,00:40:04,140,156,3.3,174,180,06:54,05:24,10,30,0.83,0,"6,918",27,No,00:03.3,8,30,00:39:42,00:40:04,-258,-234
Running,22/02/2024 08:56,FALSE,Tangerang Running,7.83,387,01:00:08,133,147,2.9,169,178,07:41,06:00,21,34,0.77,0,"10,136",31,No,00:06.8,2,33,00:59:11,01:00:08,-230,-214
Running,21/02/2024 07:24,FALSE,Tangerang Running,6.45,308,01:00:10,123,152,2,164,176,09:20,05:18,40,59,0.65,0,"9,808",29,No,00:09.8,11,30,00:59:38,01:00:10,-208,-185
Running,18/02/2024 05:18,FALSE,Tangerang Running,25.81,"1,240",03:07:40,150,184,4.8,166,206,07:16,05:20,6,34,0.83,0,"30,912",26,No,07:38.0,4,30,02:57:19,03:12:18,-188,-155
Running,17/02/2024 07:01,FALSE,Tangerang Running,9.17,447,01:08:33,142,167,3.5,152,184,07:29,04:54,2,18,0.85,0,"10,124",27,No,00:59.8,19,31,01:00:52,01:11:46,-140,-134
Running,15/02/2024 07:28,FALSE,Tangerang Running,8.19,421,01:00:09,137,159,3.3,174,184,07:21,06:06,17,35,0.78,0,"10,400",29,No,00:07.6,2,31,00:58:43,01:01:44,-117,-92
Running,13/02/2024 07:11,FALSE,Tangerang Running,7.96,407,01:00:07,137,151,3,172,224,07:33,05:51,19,38,0.77,0,"10,250",28,No,00:06.2,11,29,00:59:07,01:00:07,-102,-76
Running,11/02/2024 06:31,FALSE,Tangerang Running,12.16,560,01:27:02,138,170,3.2,166,190,07:10,05:00,7,30,0.83,0,"14,302",26,No,01:00.0,16,29,01:25:18,01:27:02,-17,7
Running,10/02/2024 08:47,FALSE,Tangerang Running,2.85,134,00:27:29,117,136,1.3,157,170,09:38,07:25,7,11,0.66,0,"4,314",30,No,00:27:29,1,31,00:26:50,00:27:29,5,12
Running,08/02/2024 05:50,FALSE,Tangerang Running,21.27,968,02:23:21,140,162,3.3,173,188,06:44,04:39,13,28,0.86,0,"24,632",25,No,01:28.5,22,29,02:21:43,02:36:34,52,74
Running,07/02/2024 07:42,FALSE,Running,7.95,411,01:00:10,137,157,3.4,169,176,07:34,06:21,15,38,0.78,0,"10,140",28,No,00:07.2,19,29,00:58:28,01:00:10,62,92
Running,06/02/2024 07:27,FALSE,Tangerang Running,0.82,42,05:38.3,146,156,1.7,169,174,06:53,06:17,--,3,0.86,0,948,27,No,05:38.3,1,27,00:05:38,00:05:38,54,59
Running,06/02/2024 06:38,FALSE,Running,5.93,327,00:45:05,142,169,3.4,168,172,07:36,05:27,9,31,0.79,0,"7,534",26,No,00:05.2,11,30,00:44:36,00:45:05,810,840
Running,02/02/2024 20:44,FALSE,Running,24.48,"1,050",03:02:52,134,153,3.2,162,210,07:28,05:10,9,31,0.82,0,"29,092",22,No,02:51.3,4,28,02:46:15,03:04:23,-163,-143
Running,31/01/2024 19:23,FALSE,Tangerang Running,5.21,306,00:40:59,156,169,3.4,172,178,07:52,06:11,12,17,0.74,0,"7,034",27,No,00:10.0,3,31,00:40:56,00:40:59,-210,-203
Running,25/01/2024 18:27,FALSE,Tangerang Running,7.66,392,00:55:06,137,152,3.2,169,176,07:11,05:58,9,36,0.82,0,"9,346",30,No,00:06.2,2,32,00:54:46,00:55:06,-228,-201
Running,24/01/2024 07:31,FALSE,Tangerang Running,9.81,426,01:20:11,125,150,2.4,152,184,08:10,04:50,21,45,0.79,0,"11,968",28,No,00:08.2,20,31,01:19:07,01:20:11,-199,-173
Running,23/01/2024 09:14,FALSE,Tangerang Running,7.18,355,00:55:11,130,145,2.5,169,176,07:41,05:41,21,31,0.77,0,"9,352",29,No,00:10.6,2,32,00:54:52,00:55:11,-180,-157
Running,21/01/2024 05:23,FALSE,Tangerang Running,20.05,988,02:28:12,137,156,3.2,167,252,07:23,04:55,18,47,0.81,0,"24,636",27,No,00:10:00,3,31,02:21:36,02:41:00,-191,-147
Running,20/01/2024 06:37,FALSE,Tangerang Running,10.36,488,01:14:04,139,165,3.1,162,186,07:09,04:44,11,30,0.85,0,"11,906",27,No,01:00.0,19,29,01:13:02,01:14:06,-140,-123
Running,19/01/2024 18:10,FALSE,Tangerang Running,2.19,120,00:17:50,135,152,2.1,164,174,08:09,05:37,10,7,0.75,0,"2,918",28,No,01:00.0,5,30,00:17:39,00:17:50,-139,-116
Running,17/01/2024 18:06,FALSE,Tangerang Running,8.85,397,01:04:06,132,157,2.8,162,182,07:15,05:12,18,38,0.84,0,"10,294",28,No,00:05.7,15,31,01:02:56,01:04:06,-141,-117
Running,14/01/2024 07:29,FALSE,Tangerang Running,1.7,90,00:12:08,140,146,2.1,174,182,07:08,06:12,2,4,0.8,0,"2,110",27,No,00:06.9,2,30,00:11:59,00:12:08,-137,-132
Running,14/01/2024 06:57,FALSE,Tangerang Running,5.02,244,00:30:19,147,167,3.3,178,184,06:03,04:47,59,62,0.93,0,"5,362",27,No,00:06.7,2,29,00:30:01,00:30:19,-137,-120
Running,14/01/2024 06:32,FALSE,Tangerang Running,2.76,136,00:22:18,128,144,2.2,162,178,08:06,05:48,4,23,0.75,0,"3,576",28,No,00:30.0,8,30,00:21:01,00:22:18,-130,-108
Running,12/01/2024 07:40,FALSE,Tangerang Running,8.15,392,01:00:11,133,150,3.1,169,184,07:23,05:34,49,71,0.8,0,"10,126",28,No,00:09.6,19,29,00:59:43,01:00:11,-94,-61
Running,11/01/2024 06:28,FALSE,Tangerang Running,6.35,305,00:45:09,132,149,3,178,182,07:07,05:50,52,72,0.79,0,"8,034",27,No,00:08.4,2,30,00:45:02,00:45:09,-97,-65
Running,10/01/2024 07:26,FALSE,Tangerang Running,7.76,369,01:00:08,135,162,3,164,180,07:45,05:19,19,39,0.78,0,"9,772",29,No,00:05.2,19,31,00:59:29,01:00:08,-71,-48
Running,09/01/2024 07:10,FALSE,Tangerang Running,5.99,285,00:45:08,130,149,2.5,172,178,07:32,04:52,12,26,0.77,0,"7,738",28,No,00:05.2,11,30,00:44:57,00:45:08,-53,-33
Running,07/01/2024 06:48,FALSE,Tangerang Running,18.3,846,02:14:20,135,161,3.2,167,182,07:20,04:41,51,62,0.82,0,"22,340",28,No,00:10:00,3,31,02:11:14,02:18:17,-58,-41
Running,05/01/2024 09:30,FALSE,Tangerang Running,10.23,474,01:20:08,132,156,3,164,182,07:50,04:55,26,35,0.77,0,"13,086",30,No,00:07.2,18,32,01:19:45,01:20:08,-76,-57
Running,03/01/2024 06:57,FALSE,Tangerang Running,10.53,493,01:20:08,133,171,3.3,165,180,07:37,05:16,250,268,0.79,0,"13,150",27,No,00:07.6,14,29,01:19:48,01:20:08,-92,-54
Running,02/01/2024 09:10,FALSE,Tangerang Running,6.51,316,00:50:10,135,153,2.8,175,182,07:43,04:50,14,24,0.74,0,"8,744",30,No,00:07.8,11,32,00:50:01,00:50:10,-47,-32
Running,31/12/2023 07:35,FALSE,Tangerang Running,19.95,937,02:30:06,135,176,3.4,169,184,07:31,06:07,54,69,0.78,0,"25,230",30,No,00:05.2,5,34,02:26:53,02:33:03,-26,-1
Running,30/12/2023 08:45,FALSE,Tangerang Running,9.78,477,01:18:58,133,160,3.5,157,186,08:04,05:49,31,32,0.78,0,"12,182",29,No,01:00.0,12,33,01:18:00,01:19:25,-6,9
Running,28/12/2023 06:43,FALSE,Tangerang Running,21.05,"1,105",02:38:30,145,212,5,167,246,07:32,05:58,50,71,0.8,0,"26,322",27,No,00:10.0,11,33,02:34:55,03:01:54,39,62
Running,25/12/2023 07:46,FALSE,Tangerang Running,12.25,628,01:25:12,145,165,4.2,172,180,06:57,05:57,26,41,0.84,0,"14,650",28,No,00:35:12,2,30,01:25:02,01:26:27,406,436
Running,21/12/2023 06:10,FALSE,Tangerang Running,5.12,252,00:36:54,140,155,3.1,173,178,07:12,05:34,11,28,0.8,0,"6,380",25,No,00:36.0,6,28,00:36:44,00:36:54,-249,-228
Running,19/12/2023 07:26,FALSE,Tangerang Running,6.82,343,00:50:50,140,153,3,171,180,07:27,04:59,14,25,0.78,0,"8,644",28,No,00:10.0,11,29,00:50:16,00:53:49,-254,-238
Running,17/12/2023 09:11,FALSE,Tangerang Running,1.9,94,00:20:06,120,153,1.7,128,178,10:36,05:08,4,6,0.74,0,"2,546",30,No,00:10:00,2,33,00:20:03,00:20:40,-208,-203
Running,17/12/2023 08:22,FALSE,Tangerang Running,5.97,322,00:45:09,150,169,3.1,168,178,07:34,06:05,15,21,0.79,0,"7,550",29,No,00:08.3,2,30,00:44:32,00:47:09,-215,-203
Running,12/12/2023 07:08,FALSE,Tangerang Running,1.04,59,08:11.9,139,156,2,156,184,07:54,05:29,3,3,0.81,0,"1,250",28,No,00:20.8,2,29,00:07:56,00:08:12,-143,-139
Running,12/12/2023 06:05,FALSE,Tangerang Running,8.59,430,01:00:49,143,165,3.8,169,184,07:05,05:34,14,37,0.83,0,"10,250",27,No,00:10.0,11,29,00:59:53,01:01:22,-145,-118
Running,10/12/2023 05:51,FALSE,Jakarta Running,9.93,493,01:07:01,146,170,4.1,171,186,06:45,05:08,66,85,0.87,0,"11,318",28,No,05:49.5,10,31,01:05:31,01:07:01,-135,-95
Running,08/12/2023 08:27,FALSE,Tangerang Running,5.56,274,00:45:19,129,148,2.4,170,176,08:09,06:41,13,25,0.72,0,"7,706",30,No,00:18.7,2,31,00:45:09,00:45:19,-99,-81
Running,07/12/2023 07:21,FALSE,Tangerang Running,9.35,447,01:11:11,133,162,3.1,166,182,07:36,05:44,28,40,0.79,0,"11,714",28,No,01:00.0,14,30,01:10:57,01:12:25,-64,-46
Running,05/12/2023 07:04,FALSE,Tangerang Running,6.54,313,00:50:12,130,154,2.8,173,182,07:41,05:05,13,27,0.75,0,"8,684",27,No,05:11.6,2,29,00:50:01,00:50:30,-45,-26
Running,03/12/2023 06:48,FALSE,Tangerang Running,13.13,663,01:31:02,143,159,4.2,177,182,06:56,05:36,23,38,0.82,0,"16,064",27,No,01:01.2,4,31,01:30:47,01:39:37,-10,14
Running,01/12/2023 08:19,FALSE,Tangerang Running,8.34,417,01:07:37,133,160,3.7,153,203,08:07,05:39,46,55,0.83,0,"10,204",26,No,00:07.4,13,30,01:04:32,01:07:37,-9,20
Running,29/11/2023 09:20,FALSE,Tangerang Running,4.64,216,00:40:09,119,161,2.9,149,180,08:39,05:41,19,12,0.76,0,"5,946",31,No,00:08.3,10,34,00:40:04,00:40:09,-13,-3
Running,29/11/2023 08:41,FALSE,Tangerang Running,2.8,128,00:23:56,125,153,2,164,180,08:33,05:29,5,13,0.71,0,"3,912",30,No,00:05.2,4,32,00:23:50,00:23:56,-13,1
Running,26/11/2023 08:01,FALSE,Tangerang Running,6.74,291,01:01:19,118,157,2.8,141,184,09:06,04:55,17,29,0.76,0,"8,542",28,No,02:00.0,10,30,00:59:15,01:05:40,19,31
Running,26/11/2023 07:35,FALSE,Tangerang Running,3.23,157,00:24:02,132,163,2.7,174,182,07:27,05:33,11,10,0.77,0,"4,146",28,No,00:11.5,4,30,00:23:44,00:24:02,30,38
Running,25/11/2023 07:53,FALSE,Tangerang Running,2.51,126,00:16:24,144,155,2.9,174,182,06:32,05:45,4,13,0.88,0,"2,862",28,No,00:16:24,1,28,00:16:21,00:16:24,20,30
Running,25/11/2023 07:34,FALSE,Tangerang Running,2.59,125,00:19:01,129,140,2.5,174,178,07:21,06:15,6,13,0.78,0,"3,298",27,No,00:19:01,1,30,00:18:56,00:19:01,30,39
Running,24/11/2023 07:04,FALSE,Tangerang Running,1.01,49,06:32.7,146,154,2.1,177,184,06:29,05:50,--,6,0.87,0,"1,156",30,No,06:32.7,1,30,00:06:29,00:06:33,20,27
Running,24/11/2023 06:57,FALSE,Tangerang Running,1,50,06:43.1,144,150,2.1,175,182,06:41,06:11,1,4,0.86,0,"1,174",29,No,06:43.1,1,30,00:06:40,00:06:43,23,29
Running,24/11/2023 06:49,FALSE,Tangerang Running,1.01,50,07:01.1,143,156,2,176,182,06:58,06:13,--,12,0.81,0,"1,234",29,No,07:01.1,1,29,00:06:56,00:07:01,26,39
Running,24/11/2023 06:41,FALSE,Tangerang Running,1.01,50,07:16.8,145,156,2,177,184,07:13,06:40,2,3,0.78,0,"1,290",29,No,07:16.8,1,29,00:07:15,00:07:17,37,41
Running,24/11/2023 06:32,FALSE,Tangerang Running,1.08,51,08:36.7,126,158,1.5,174,192,07:58,07:14,4,2,0.72,0,"1,504",29,No,08:36.7,1,31,00:08:36,00:08:37,38,44
Running,22/11/2023 07:04,FALSE,Tangerang Running,3.92,182,00:32:23,130,154,2.4,165,176,08:16,05:14,4,23,0.73,0,"5,380",29,No,06:28.5,4,30,00:32:09,00:32:29,30,48
Running,21/11/2023 07:13,FALSE,Tangerang Running,5.02,250,00:37:57,134,154,3.1,170,180,07:33,05:55,10,19,0.78,0,"6,480",29,No,00:07.6,6,31,00:37:39,00:46:05,3,21
Running,20/11/2023 07:50,FALSE,Jakarta Running,4.69,241,00:32:44,151,167,3.5,174,182,06:59,05:49,--,18,0.82,0,"5,734",25,No,04:22.7,5,31,00:32:38,00:34:16,1,18
Running,18/11/2023 07:01,FALSE,Tangerang Running,5.28,264,00:40:44,138,161,3.1,169,176,07:43,05:20,12,27,0.77,0,"6,876",29,No,01:41.0,6,30,00:40:38,00:40:44,-449,-429
Running,05/11/2023 09:06,FALSE,Üsküdar Running,42.11,"1,762",05:04:12,141,161,4.1,171,190,07:13,05:29,196,209,0.81,0,"52,334",21,No,00:38.7,43,27,05:01:59,05:09:28,-194,-82
Running,04/11/2023 10:32,FALSE,Fatih Running,5.01,258,00:36:37,139,153,3.2,171,180,07:19,06:27,24,21,0.8,0,"6,268",26,No,00:02.9,6,30,00:36:22,00:37:22,-181,-142
Running,29/10/2023 05:48,FALSE,Tangerang Running,12.16,587,01:16:49,149,174,5,173,182,06:19,05:27,14,32,0.91,0,"13,400",25,No,00:58.1,13,29,01:16:32,01:18:58,-86,-64
Running,28/10/2023 06:36,FALSE,Tangerang Running,10.01,481,01:11:36,139,157,3.8,174,184,07:09,05:51,22,41,0.8,0,"12,526",27,No,00:04.0,11,29,01:11:24,01:15:23,-52,-32
Running,25/10/2023 06:35,FALSE,Tangerang Running,5.01,242,00:38:09,133,154,3,168,175,07:37,05:45,7,27,0.78,0,"6,396",28,No,00:04.6,6,30,00:38:02,00:38:09,-30,-7
Running,23/10/2023 07:43,FALSE,Tangerang Running,10.02,485,01:13:08,138,155,3.4,172,182,07:18,05:42,25,27,0.8,0,"12,638",29,No,00:07.2,11,32,01:12:31,01:21:12,29,45
