Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,11/04/2025 06:22,Tangerang Running,7.12,454,00:48:17,119,130,2.7,174,186,06:47,06:17,5,39,0.84,9.3,7.8,262,06:48,225,0,224,278,"8,408",No,00:47.7,8,00:48:13,00:49:36,33,39
Running,10/04/2025 06:17,Tangerang Running,10.22,660,01:06:56,125,142,3.2,175,188,06:33,05:39,14,41,0.87,9.1,7.9,259,06:34,232,0,232,299,"11,730",No,01:24.9,11,01:06:52,01:07:46,34,41
Running,09/04/2025 06:01,Tangerang Running,10.52,700,01:06:38,132,149,3.5,179,215,06:20,05:24,8,10,0.88,8.9,7.8,254,06:21,238,0,237,281,"11,886",No,03:03.3,11,01:06:35,01:06:38,34,39
Running,06/04/2025 06:28,Jakarta Running,10.45,739,01:09:24,137,155,3.8,168,189,06:38,03:43,27,33,0.88,9.2,8.1,262,06:37,230,0,226,341,"11,880",No,03:12.6,11,01:09:09,01:09:24,7,23
Running,05/04/2025 05:29,Tangerang - Long Run,16.02,"1,081",01:36:24,140,166,4.8,180,196,06:01,04:46,11,14,0.92,8.6,7.8,249,06:01,253,0,249,340,"17,348",No,00:47.2,17,01:36:20,01:37:05,25,31
Running,04/04/2025 06:19,Tangerang Running,7.21,479,00:45:45,127,139,3.2,176,184,06:21,05:51,3,7,0.89,9,8,257,06:22,241,0,239,285,"8,052",No,01:34.3,8,00:45:43,00:45:48,33,40
Running,03/04/2025 06:28,Tangerang Running,5.75,372,00:38:14,119,132,2.6,173,188,06:39,05:33,2,4,0.87,9.2,8,261,06:37,231,0,228,282,"6,634",No,05:17.0,6,00:37:54,00:39:35,28,32
Running,21/03/2025 06:09,Tangerang Running,5.52,365,00:35:11,127,144,2.7,170,203,06:22,04:15,16,16,0.91,8.9,8,255,06:18,240,0,235,372,"6,088",No,03:13.0,6,00:34:56,00:39:53,37,48
Running,20/03/2025 06:55,Tangerang - Easy Run 10Km,6,404,00:40:20,130,139,2.6,173,184,06:43,04:48,6,5,0.86,9.3,7.9,262,06:43,228,0,226,336,"7,010",No,00:04.4,7,00:40:12,00:40:38,33,38
Running,16/03/2025 08:06,Seoul Marathon 2025,42.53,"2,682",03:26:34,157,166,5,185,200,04:51,03:01,91,132,1.1,7.5,8.3,227,04:52,311,0,308,561,"38,122",No,00:08.6,45,03:26:09,03:26:34,8,57
