Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
5561720863,"May 16, 2021, 10:24:24 AM",Night Swim,Swim,,3869,"1,375",,,FALSE,,,activities/5918748110.fit.gz,,,3869,3860,1375,1.899999976,0.356217623,0,,,,0,0,,,26,16.92398643,,,,,221,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561720866,"Apr 23, 2021, 1:20:00 AM",Evening Swim,Swim,,1178,625,,,FALSE,,,activities/5918748116.fit.gz,,,1178,994,625,1.5,0.628772616,0,,,,0,0,,,31,22.20676041,,,,,108,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561720870,"Apr 30, 2021, 10:28:40 AM",Night Swim,Swim,,8,0,,,FALSE,,,activities/5918748113.fit.gz,,,8,0,0,0,0,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561720873,"Apr 21, 2021, 9:42:09 AM",Night Swim,Swim,,3235,"2,000",,,FALSE,,,activities/5918748131.fit.gz,,,3235,2375,2000,3.099999905,0.842105269,0,,,,0,0,,,30,17.23913765,,,,,351,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561720875,"Apr 18, 2021, 10:08:15 AM",Night Swim,Swim,,36,0,,,FALSE,,,activities/5918748127.fit.gz,,,36,0,0,0,0,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561720876,"Apr 30, 2021, 9:25:23 AM",Night Swim,Swim,,2645,"1,025",,,FALSE,,,activities/5918748107.fit.gz,,,2645,2304,1025,1.700000048,0.444878459,0,,,,0,0,,,29,16.66897011,,,,,204,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561720885,"Jun 12, 2021, 10:17:10 AM",Night Swim,Swim,,1161,"1,000",,,FALSE,,,activities/5918748138.fit.gz,,,1161,1155,1000,1.600000024,0.865800858,0,,,,0,0,,,25,17.03657532,,,,,170,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561720891,"Jun 25, 2021, 9:50:48 AM",Night Swim,Swim,,1872,"1,000",,,FALSE,,,activities/5918748120.fit.gz,,,1872,1864,1000,1.200000048,0.536480665,0,,,,0,0,,,34,18.12513733,,,,,144,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561720897,"Jun 20, 2021, 10:05:30 AM",Night Swim,Swim,,1788,"1,000",,,FALSE,,,activities/5918748105.fit.gz,,,1788,1782,1000,1.700000048,0.56116724,0,,,,0,0,,,34,18.79298401,,,,,157,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561720909,"May 21, 2021, 10:07:18 AM",Afternoon Swim,Swim,,728,50,,,FALSE,,,activities/5918748121.fit.gz,,,728,88,50,0.100000001,0.568181813,0,,,,0,0,,,23,17.2352066,,,,,6,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
