Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Breathwork,01/01/2024 16:07,FALSE,Relax and Focus (Short),--,--,00:05:34,101,121,0.1,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,98,--,No,00:00:04,77,--,4,3,4,3,94,97,89,98,00:00:00,00:05:34,--,--
Breathwork,03/12/2023 13:32,FALSE,Relax and Focus (Short),--,--,00:05:34,67,84,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,No,00:00:04,77,--,5,4,5,-7,30,23,32,52,00:00:00,00:05:34,--,--
Pool Swim,25/03/2025 18:34,FALSE,Pool Swim,"1,025",207,00:31:56,118,142,1.4,--,--,02:50,01:44,--,--,--,--,--,--,--,--,0,--,--,617,58,21,--,--,No,00:05.9,17,--,--,--,--,--,--,--,--,--,00:29:08,00:32:16,--,--
Pool Swim,05/01/2024 15:49,FALSE,Pool Swimming,950,189,00:32:42,123,172,1.6,--,--,01:41,00:28,--,--,--,--,--,--,--,--,0,--,--,347,69,22,--,--,No,00:03.2,19,--,--,--,--,--,--,--,--,--,00:15:59,00:47:16,--,--
Pool Swim,17/02/2025 19:39,FALSE,Pool Swim,575,107,00:19:39,115,138,0.6,--,--,03:16,01:37,--,--,--,--,--,--,--,--,0,--,--,398,66,21,--,--,No,00:08.8,4,--,--,--,--,--,--,--,--,--,00:18:49,00:19:47,--,--
Pool Swim,01/12/2023 16:03,FALSE,Pool Swimming,425,162,00:44:46,102,140,0.4,--,--,02:27,00:50,--,--,--,--,--,--,--,--,0,--,--,217,50,21,--,--,No,00:02.6,34,--,--,--,--,--,--,--,--,--,00:10:26,00:56:33,--,--
Pool Swim,27/01/2025 18:31,FALSE,Pool Swim,250,57,00:11:28,110,133,0.3,--,--,03:48,02:37,--,--,--,--,--,--,--,--,0,--,--,177,75,19,--,--,No,00:16.5,9,--,--,--,--,--,--,--,--,--,09:30.7,00:11:36,--,--
Running,23/06/2024 04:30,FALSE,Tangerang Running,42.55,"2,523",03:55:39,174,190,5,174,250,05:32,03:48,111,108,1.02,8.3,8.4,246,05:31,244,0,235,340,--,--,--,"41,214",27,No,02:48.4,43,31,--,--,--,--,--,--,--,--,03:54:51,03:55:39,32,78
Running,16/03/2025 08:18,FALSE,Quality Session,42.54,"2,257",03:21:43,168,188,5,181,196,04:44,03:21,115,131,1.16,7.8,9,227,04:45,262,0,260,388,--,--,--,"36,372",9,No,02:30.9,43,20,--,--,--,--,--,--,--,--,03:21:30,03:21:43,2,49
Running,25/08/2024 04:30,FALSE,Gianyar Running,42.48,"2,519",03:51:50,174,188,5,180,214,05:27,03:41,327,320,1.01,8.4,8.5,240,05:26,235,0,233,323,--,--,--,"41,534",27,No,02:21.0,43,31,--,--,--,--,--,--,--,--,03:51:23,03:51:50,13,138
Running,15/02/2025 05:27,FALSE,Tangerang - Quality Session,34.33,"1,862",03:00:01,168,189,5,176,190,05:15,04:20,78,120,1.08,8.2,8.9,237,05:14,233,0,228,308,--,--,--,"31,736",28,No,00:00.6,37,32,--,--,--,--,--,--,--,--,02:58:15,03:03:35,34,48
Running,25/05/2024 17:25,FALSE,Tangerang - Quality Session,32,"1,913",02:58:02,172,188,5,175,193,05:34,04:33,34,24,1.02,8.5,8.7,245,05:33,242,0,238,308,--,--,--,"31,104",29,No,00:02.4,33,31,--,--,--,--,--,--,--,--,02:57:29,02:58:02,29,44
Running,08/02/2025 05:38,FALSE,Tangerang Running,31.56,"1,675",03:00:00,158,179,4.6,174,226,05:42,04:02,38,84,1,8.6,8.5,243,05:41,212,0,207,300,--,--,--,"31,468",27,No,03:29.2,32,30,--,--,--,--,--,--,--,--,02:57:32,03:00:53,26,38
Running,01/02/2025 05:19,FALSE,Tangerang - Quality Session,31.08,"1,693",02:37:34,165,184,5,177,194,05:04,03:44,81,75,1.11,8.1,8.9,234,05:03,249,0,244,412,--,--,--,"27,948",28,No,00:20.2,32,32,--,--,--,--,--,--,--,--,02:36:37,02:51:46,33,52
Running,25/01/2025 05:11,FALSE,Tangerang - Quality Session,31.01,"1,685",02:51:15,163,181,5,176,239,05:31,04:11,38,82,1.02,8.4,8.6,241,05:30,225,0,222,312,--,--,--,"30,240",26,No,00:01.7,32,30,--,--,--,--,--,--,--,--,02:50:02,02:51:15,24,41
Running,22/02/2025 05:33,FALSE,Tangerang - Quality Session,30.25,"1,582",02:30:00,167,183,5,181,231,04:58,04:09,116,112,1.11,7.9,8.7,230,04:56,242,0,239,453,--,--,--,"27,080",25,No,01:07.3,33,30,--,--,--,--,--,--,--,--,02:29:54,02:30:00,25,47
Running,11/08/2024 05:32,FALSE,Tangerang Running,30.01,"1,695",02:34:46,167,183,5,182,192,05:09,04:26,41,34,1.06,8,8.5,233,05:09,241,0,240,285,--,--,--,"28,040",28,No,00:01.8,31,32,--,--,--,--,--,--,--,--,02:34:40,02:34:46,31,42
Running,27/07/2024 05:40,FALSE,Tangerang - Quality Session,30,"1,766",02:39:59,165,187,5,177,200,05:20,03:53,41,27,1.05,8.2,8.6,237,05:20,245,0,241,336,--,--,--,"28,332",28,No,00:01.3,31,32,--,--,--,--,--,--,--,--,02:38:08,02:39:59,30,47
